strain	date	S1_mutations	clade_membership	country	current_frequency	division	emerging_lineage	epiweek	genbank_accession	host	pango_lineage	recency	region	url	author	accession	originating_lab	submitting_lab	logistic_growth
Switzerland/BS-UHB-65245510/2020	2020-05-27	1.00	20B	Switzerland		Basel-Stadt		202022	OU280088	Homo sapiens	B.1	Older	Europe		? CN				
GHA/35394_S49/2020	2020-05-24	1.00	20B	Ghana		Ghana		202022	MT890208	Homo sapiens	B.1.1	Older	Africa		Ngoi et al H				
LR963378	2020-06-01	1.00	20B	Zimbabwe		Zimbabwe		202023	LR963378	Homo sapiens	B.1.1	Older	Africa		Alikhan et al G				
CHL/Santiago-JDP7073/2020	2020-04-28	1.00	20B	Chile		Chile		202018	MW365246	Homo sapiens	B.1.1	Older	South America		Direct Submission et al AA				
USA/MT-BHDH-5184/2020	2020-08-02	1.00	20B	USA		Montana		202032	MW861383	Homo sapiens	B.1	Older	North America		Nemudryi et al B				
USA/MT-BHDH-5296/2020	2020-08-04	1.00	20B	USA		Montana		202032	MW861384	Homo sapiens	B.1.1	Older	North America		Nemudryi et al C				
KOR/KCDC9349-NCCP43343/2020	2020-07-28	1.00	20B	South Korea		South Korea		202031	MW466798	Homo sapiens	B.1.1	Older	Asia		Kim et al D				
LR963372	2020-06-01	1.00	20B	Zimbabwe		Zimbabwe		202023	LR963372	Homo sapiens	B.1	Older	Africa		Alikhan et al H				
GHA/WACCBIP_nCoV_GS20/2020	2020-07-24	1.00	20B	Ghana		Ghana		202030	MW523403	Homo sapiens	B.1.1	Older	Africa		Ngoi et al I				
SLE/KGH-G-8607/2020	2020-04-03	1.00	20B	Sierra Leone		Sierra Leone		202014	MT872494	Homo sapiens	B.1.1	Older	Africa		Goba et al D		Kenema Government Hospital	Kenema Government Hospital	
SAU/KAIMRC-S516/2021	2021-02-10	5.00	20B	Saudi Arabia		Riyadh		202106	MZ895729	Homo sapiens	B.1.1.306	3-7 days ago	Asia		Alghoribi et al B				
SAU/KAIMRC-S193/2020	2020-12-16	4.00	20B	Saudi Arabia		Riyadh		202051	MZ895664	Homo sapiens	B.1.1	3-7 days ago	Asia		Alghoribi et al C				
SAU/KAIMRC-S151/2020	2020-11-25	4.00	20B	Saudi Arabia		Jeddah		202048	MZ895660	Homo sapiens	B.1.1	3-7 days ago	Asia		Alghoribi et al D				
SAU/KAIMRC-S161/2021	2021-01-03	4.00	20B	Saudi Arabia		Riyadh		202101	MZ895662	Homo sapiens	B.1.1	3-7 days ago	Asia		Alghoribi et al E				
Switzerland/un-UHB-42502103/2020	2020-10-24	1.00	20B	France		Auvergne-Rhône-Alpes		202043	OU282010	Homo sapiens	B.1.1.242	Older	Europe		? CO				
CZE/IAB_14/2020	2020-04-27	1.00	20B	Czech Republic		Czech Republic		202018	MT517426	Homo sapiens	B.1.1	Older	Europe		Broz et al				
CHN/HN07/2020	2020-04-02	1.00	20B	China		China		202014	MT412340	Homo sapiens	B.1.1	Older	Asia		Li et al N				
USA/AR-CDC-LC0005265/2021	2021-01-08	2.00	20B	USA		Arkansas		202101	MW638897	Homo sapiens	B.1.1.362	Older	North America		Cook et al P				
USA/CA-CZB-2213/2020	2020-05-28	1.00	20B	USA		California		202022	MW035955	Homo sapiens	B.1.1.132	Older	North America		Bhatt et al B		Orange County Public Health Lab	Chan Zuckerberg Biohub	
IRQ/Thi-Qar-4/2021	2021-04-27	4.00	20B	Iraq		Iraq		202117	MZ555946	Homo sapiens		Older	Asia		Al-Rashedi et al C				
IRQ/Thi-Qar-7/2021	2021-04-27	6.00	20B	Iraq		Iraq		202117	MZ555949	Homo sapiens		Older	Asia		Al-Rashedi et al D				
IRQ/Thi-Qar-5/2021	2021-04-27	5.00	20B	Iraq		Iraq		202117	MZ555947	Homo sapiens		Older	Asia		Al-Rashedi et al E				
TUN/TUN-IPT-Q8734/2021	2021-02-20	6.00	20I (Alpha, V1)	Tunisia		Tunisia	B.1.1.7 (Alpha)	202107	MW721182	Homo sapiens	B.1.1.7	Older	Africa		Trabelsi et al D				
BHR/50008380/2021	2021-05-12	6.00	20I (Alpha, V1)	Bahrain		Bahrain	B.1.1.7 (Alpha)	202119	MZ506337	Homo sapiens	B.1.1.7	Older	Asia		Alwasti et al FP				
Switzerland/ZH-ETHZ-640043/2021	2021-05-26	6.00	20I (Alpha, V1)	Switzerland		Zürich	B.1.1.7 (Alpha)	202121	OU539685	Homo sapiens	B.1.1.7	One week ago	Europe		? CP				
IRQ/Samawa-15/2020	2020-12-29	6.00	20I (Alpha, V1)	Iraq		Iraq	B.1.1.7 (Alpha)	202053	MZ145301	Homo sapiens	B.1.1.7	Older	Asia		Al-Rashedi et al F				
OU159210	2021-04-30	6.00	20I (Alpha, V1)	Germany		North Rhine Westphalia	B.1.1.7 (Alpha)	202117	OU159210	Homo sapiens	B.1.1.7	Older	Europe		? C				
OU326059	2021-05-02	6.00	20I (Alpha, V1)	Poland		Slaskie	B.1.1.7 (Alpha)	202118	OU326059	Homo sapiens	B.1.1.7	Older	Europe		? H				
FIN/87HEL-VE6-H10/2020	2020-12-18	6.00	20I (Alpha, V1)	Finland		Finland	B.1.1.7 (Alpha)	202051	MW717677	Homo sapiens	B.1.1.7	Older	Europe		Smura et al C				
OU360917	2021-06-16	6.00	20I (Alpha, V1)	Germany	0.00	North Rhine Westphalia	B.1.1.7 (Alpha)	202124	OU360917	Homo sapiens	B.1.1.7	Older	Europe		? C				-18.71
OU323448	2021-06-02	6.00	20I (Alpha, V1)	Germany		Bavaria	B.1.1.7 (Alpha)	202122	OU323448	Homo sapiens	B.1.1.7	Older	Europe		? C				
Switzerland/AG-ETHZ-600722/2021	2021-04-27	6.00	20I (Alpha, V1)	Switzerland		Aargau	B.1.1.7 (Alpha)	202117	OU174474	Homo sapiens	B.1.1.7	Older	Europe		? CQ				
England/ALDP-1547542/2021	2021-04-27	6.00	20I (Alpha, V1)	United Kingdom		England	B.1.1.7 (Alpha)	202117	OU265616	Homo sapiens	B.1.1.7	Older	Europe		Wynn et al B				
OU323631	2021-04-27	6.00	20I (Alpha, V1)	Poland		Slaskie	B.1.1.7 (Alpha)	202117	OU323631	Homo sapiens	B.1.1.7	Older	Europe		? H				
HongKong/HKPU-00172/2020	2020-12-25	6.00	20I (Alpha, V1)	Hong Kong		Hong Kong	B.1.1.7 (Alpha)	202052	MZ266521	Homo sapiens	B.1.1.7	Older	Asia		Siu et al L				
Estonia/Cov7702/2020	2020-12-25	6.00	20I (Alpha, V1)	Estonia		Estonia	B.1.1.7 (Alpha)	202052	OU278362	Homo sapiens	B.1.1.7	Older	Europe		Avi et al F				
England/MILK-156348F/2021	2021-05-08	6.00	20I (Alpha, V1)	United Kingdom		England	B.1.1.7 (Alpha)	202118	OU279579	Homo sapiens	B.1.1.7	Older	Europe		The Lighthouse Lab in Milton et al B				
OU326140	2021-05-02	6.00	20I (Alpha, V1)	Poland		Slaskie	B.1.1.7 (Alpha)	202118	OU326140	Homo sapiens	B.1.1.7	Older	Europe		? H				
OU325393	2021-04-30	6.00	20I (Alpha, V1)	Poland		Slaskie	B.1.1.7 (Alpha)	202117	OU325393	Homo sapiens	B.1.1.7	Older	Europe		? H				
England/MILK-1567B68/2021	2021-05-07	6.00	20I (Alpha, V1)	United Kingdom		England	B.1.1.7 (Alpha)	202118	OU279006	Homo sapiens	B.1.1.7	Older	Europe		The Lighthouse Lab in Milton et al B				
Estonia/Cov11335/2021	2021-04-03	6.00	20I (Alpha, V1)	Estonia		Harjumaa	B.1.1.7 (Alpha)	202113	OU278116	Homo sapiens	B.1.1.7	Older	Europe		Avi et al G				
TWN/CGMH-CGU-58/2021	2021-03-01	6.00	20I (Alpha, V1)	Taiwan		Taiwan	B.1.1.7 (Alpha)	202109	MZ277391	Homo sapiens	B.1.1.7	Older	Asia		Tsao et al J				
Estonia/Cov10237/2021	2021-03-11	6.00	20I (Alpha, V1)	Estonia		Ida-Viru	B.1.1.7 (Alpha)	202110	OU277915	Homo sapiens	B.1.1.7	Older	Europe		Avi et al H				
PHL/PH-PGC-00401/2020	2020-12-10	6.00	20I (Alpha, V1)	Philippines		Philippines	B.1.1.7 (Alpha)	202050	MW735409	Homo sapiens	B.1.1.7	Older	Asia		Tablizo et al A				
USA/MD-CDC-LC0067101/2021	2021-05-29	6.00	20I (Alpha, V1)	USA		Maryland	B.1.1.7 (Alpha)	202121	MZ372201	Homo sapiens	B.1.1.7	Older	North America		Howard et al EK				
England/MILK-1596BD9/2021	2021-05-18	7.00	20I (Alpha, V1)	United Kingdom		England	B.1.1.7 (Alpha)	202120	OU292501	Homo sapiens	B.1.1.7	Older	Europe		The Lighthouse Lab in Milton et al B				
Northern_Ireland/RAND-1945012/2021	2021-07-09	6.00	20I (Alpha, V1)	United Kingdom	0.00	Northern Ireland	B.1.1.7 (Alpha)	202127	OU563164	Homo sapiens	B.1.1.7	One week ago	Europe		Randox et al				-15.67
USA/MA-CDC-LC0052295/2021	2021-04-20	6.00	20I (Alpha, V1)	USA		Massachusetts	B.1.1.7 (Alpha)	202116	MZ142711	Homo sapiens	B.1.1.7	Older	North America		Howard et al EL				
USA/ME-CDC-2-4567281/2021	2021-06-07	6.00	20I (Alpha, V1)	USA		Maine	B.1.1.7 (Alpha)	202123	MZ511660	Homo sapiens	B.1.1.7	Older	North America		Sheth et al W				
USA/PA-CDC-STM-000005874/2021	2021-01-29	6.00	20I (Alpha, V1)	USA		Pennsylvania	B.1.1.7 (Alpha)	202104	MW626511	Homo sapiens	B.1.1.7	Older	North America		Cook et al Q				
Switzerland/BS-ETHZ-601080/2021	2021-04-29	6.00	20I (Alpha, V1)	Switzerland		Basel-Stadt	B.1.1.7 (Alpha)	202117	OU539816	Homo sapiens	B.1.1.7	One week ago	Europe		? CR				
ESP/hCoV-19_Spain_CT-HUVH-Bellvitge73799_2021/2021	2021-01-19	6.00	20I (Alpha, V1)	Spain		Spain	B.1.1.7 (Alpha)	202103	MW769710	Homo sapiens	B.1.1.7	Older	Europe		Andres et al				
USA/MN-CDC-IBX460798162619/2021	2021-05-18	6.00	20I (Alpha, V1)	USA		Minnesota	B.1.1.7 (Alpha)	202120	MZ401799	Homo sapiens	B.1.1.7	Older	North America		Howard et al EM				
USA/NJ-CDC-LC0022438/2021	2021-02-24	7.00	20I (Alpha, V1)	USA		New Jersey	B.1.1.7 (Alpha)	202108	MW971605	Homo sapiens		Older	North America		Howard et al EN				
USA/OR-CDC-LC0060183/2021	2021-05-14	6.00	20I (Alpha, V1)	USA		Oregon	B.1.1.7 (Alpha)	202119	MZ306690	Homo sapiens	B.1.1.7	Older	North America		Howard et al EO				
USA/SD-SDPHL-0338/2021	2021-04-28	8.00	20I (Alpha, V1)	USA		South Dakota	B.1.1.7 (Alpha)	202117	MZ202234	Homo sapiens	B.1.1.7	Older	North America		Carlson et al B				
USA/DC-CDC-2-4215204/2021	2021-04-03	6.00	20I (Alpha, V1)	USA		Washington DC	B.1.1.7 (Alpha)	202113	MZ056210	Homo sapiens	B.1.1.7	Older	North America		Sheth et al X				
USA/TN-CDC-ASC210065785/2021	2021-05-20	6.00	20I (Alpha, V1)	USA		Tennessee	B.1.1.7 (Alpha)	202120	MZ320605	Homo sapiens	B.1.1.7	Older	North America		Howard et al EP				
USA/AL-UAB-GX66/2021	2021-02-23	7.00	20I (Alpha, V1)	USA		Alabama	B.1.1.7 (Alpha)	202108	MZ451647	Homo sapiens	B.1.1.7	Older	North America		Moates et al A				
USA/WA-CDC-UW21062240628/2021	2021-06-22	6.00	20I (Alpha, V1)	USA	0.00	Washington	B.1.1.7 (Alpha)	202125	MZ532415	Homo sapiens	B.1.1.7	Older	North America		Howard et al EQ				-15.67
USA/WV-CDC-ASC210108836/2021	2021-06-11	6.00	20I (Alpha, V1)	USA	0.00	West Virginia	B.1.1.7 (Alpha)	202123	MZ450685	Homo sapiens	B.1.1.7	Older	North America		Howard et al ER				
USA/DC-CDC-2-4310009/2021	2021-04-27	6.00	20I (Alpha, V1)	USA		Washington DC	B.1.1.7 (Alpha)	202117	MZ164825	Homo sapiens	B.1.1.7	Older	North America		Sheth et al Y				
USA/PA-CDC-STM-000073964/2021	2021-05-10	6.00	20I (Alpha, V1)	USA		Pennsylvania	B.1.1.7 (Alpha)	202119	MZ415901	Homo sapiens	B.1.1.7	Older	North America		Howard et al ES				
USA/IA-CDC-ASC210035424/2021	2021-04-28	6.00	20I (Alpha, V1)	USA		Iowa	B.1.1.7 (Alpha)	202117	MZ184176	Homo sapiens	B.1.1.7	Older	North America		Howard et al ET				
USA/VI-CDC-2-4420272/2021	2021-04-29	6.00	20I (Alpha, V1)	USA		Virgin Islands	B.1.1.7 (Alpha)	202117	MZ331322	Homo sapiens	B.1.1.7	Older	North America		Sheth et al Z				
USA/KS-CDC-QDX25704296/2021	2021-06-08	7.00	20I (Alpha, V1)	USA		Kansas	B.1.1.7 (Alpha)	202123	MZ432885	Homo sapiens	B.1.1.7	Older	North America		Howard et al EU				
USA/ME-CDC-ASC210031636/2021	2021-04-23	7.00	20I (Alpha, V1)	USA		Maine	B.1.1.7 (Alpha)	202116	MZ283152	Homo sapiens	B.1.1.7	Older	North America		Howard et al EV				
USA/PA-CDC-QDX25576194/2021	2021-06-03	6.00	20I (Alpha, V1)	USA		Pennsylvania	B.1.1.7 (Alpha)	202122	MZ410249	Homo sapiens	B.1.1.7	Older	North America		Howard et al EW				
USA/VT-CDCBI-CRSP_SGLCOHPZBDKQGC7O/2021	2021-06-01	6.00	20I (Alpha, V1)	USA		Vermont	B.1.1.7 (Alpha)	202122	MZ472602	Homo sapiens	B.1.1.7	Older	North America		Lemieux et al R				
USA/CA-CDC-LC0056018/2021	2021-04-29	6.00	20I (Alpha, V1)	USA		California	B.1.1.7 (Alpha)	202117	MZ181665	Homo sapiens	B.1.1.7	Older	North America		Howard et al EX				
BGD/G039392/2021	2021-01-06	6.00	20I (Alpha, V1)	Bangladesh		Bangladesh	B.1.1.7 (Alpha)	202101	MW531680	Homo sapiens	B.1.1.7	Older	Asia		Hossain et al B				
USA/COVID21-2107/2021	2021-06-14	7.00	20I (Alpha, V1)	USA	0.00	South Carolina	B.1.1.7 (Alpha)	202124	MZ542363	Homo sapiens	B.1.1.7	Older	North America		Freeman et al D				-15.67
USA/SD-SDPHL-0297/2021	2021-04-12	7.00	20I (Alpha, V1)	USA		South Dakota	B.1.1.7 (Alpha)	202115	MZ153181	Homo sapiens	B.1.1.7	Older	North America		Carlson et al C				
USA/SD-CDC-ASC210031731/2021	2021-04-23	6.00	20I (Alpha, V1)	USA		South Dakota	B.1.1.7 (Alpha)	202116	MZ195316	Homo sapiens	B.1.1.7	Older	North America		Howard et al EY				
OU154533	2021-05-01	7.00	20I (Alpha, V1)	Germany		Bremen	B.1.1.7 (Alpha)	202117	OU154533	Homo sapiens	B.1.1.7	Older	Europe		? C				
Scotland/QEUH-15A50E7/2021	2021-05-20	6.00	20I (Alpha, V1)	United Kingdom		Scotland	B.1.1.7 (Alpha)	202120	OU296414	Homo sapiens	B.1.1.7	Older	Europe		VanSteenhouse et al A				
Switzerland/AG-ETHZ-600674/2021	2021-04-27	7.00	20I (Alpha, V1)	Switzerland		Aargau	B.1.1.7 (Alpha)	202117	OU174467	Homo sapiens	B.1.1.7	Older	Europe		? CS				
OU157844	2021-04-30	6.00	20I (Alpha, V1)	Germany		North Rhine Westphalia	B.1.1.7 (Alpha)	202117	OU157844	Homo sapiens	B.1.1.7	Older	Europe		? C				
OU325943	2021-05-01	6.00	20I (Alpha, V1)	Poland		Slaskie	B.1.1.7 (Alpha)	202117	OU325943	Homo sapiens	B.1.1.7	Older	Europe		? H				
LBN/Lebanon10-B.1.1.7/2021	2021-02-03	6.00	20I (Alpha, V1)	Lebanon		Lebanon	B.1.1.7 (Alpha)	202105	MZ736691	Homo sapiens	B.1.1.7	One month ago	Asia		abdel sater et al A				
England/MILK-1551D89/2021	2021-04-29	6.00	20I (Alpha, V1)	United Kingdom		England	B.1.1.7 (Alpha)	202117	OU266762	Homo sapiens	B.1.1.7	Older	Europe		The Lighthouse Lab in Milton et al B				
USA/OR-CDC-ASC210046730/2021	2021-04-05	8.00	20I (Alpha, V1)	USA		Oregon	B.1.1.7 (Alpha)	202114	MW990567	Homo sapiens	Q.3	Older	North America		Howard et al EZ				
USA/OH-CDC-LC0085470/2021	2021-06-16	7.00	20I (Alpha, V1)	USA	0.00	Ohio	B.1.1.7 (Alpha)	202124	MZ554891	Homo sapiens	Q.3	Older	North America		Howard et al FA				-15.67
USA/NV-CDC-LC0068694/2021	2021-05-26	6.00	20I (Alpha, V1)	USA		Nevada	B.1.1.7 (Alpha)	202121	MZ372722	Homo sapiens	B.1.1.7	Older	North America		Howard et al FB				
England/ALDP-1548329/2021	2021-04-28	6.00	20I (Alpha, V1)	United Kingdom		England	B.1.1.7 (Alpha)	202117	OU275244	Homo sapiens	B.1.1.7	Older	Europe		Wynn et al B				
England/ALDP-15DCF9F/2021	2021-05-28	6.00	20I (Alpha, V1)	United Kingdom		England	B.1.1.7 (Alpha)	202121	OU318185	Homo sapiens	B.1.1.7	Older	Europe		Wynn et al B				
MAR/FMP80/2021	2021-01-08	6.00	20I (Alpha, V1)	Morocco		Morocco	B.1.1.7 (Alpha)	202101	MW803167	Homo sapiens	B.1.1.7	Older	Africa		Aanniz et al				
Switzerland/ZH-ETHZ-600927/2021	2021-04-28	6.00	20I (Alpha, V1)	Switzerland		Zürich	B.1.1.7 (Alpha)	202117	OU199484	Homo sapiens	B.1.1.7	Older	Europe		? CT				
Switzerland/BL-ETHZ-600733/2021	2021-04-27	6.00	20I (Alpha, V1)	Switzerland		Basel-Land	B.1.1.7 (Alpha)	202117	OU169604	Homo sapiens	B.1.1.7	Older	Europe		? CU				
Switzerland/SO-ETHZ-600796/2021	2021-04-27	6.00	20I (Alpha, V1)	Switzerland		Solothurn	B.1.1.7 (Alpha)	202117	OU190833	Homo sapiens	B.1.1.7	Older	Europe		? CV				
England/MILK-15B4971/2021	2021-05-24	6.00	20I (Alpha, V1)	United Kingdom		England	B.1.1.7 (Alpha)	202121	OU288469	Homo sapiens	B.1.1.7	Older	Europe		The Lighthouse Lab in Milton et al B				
OU324645	2021-06-01	7.00	20I (Alpha, V1)	Germany		Niedersachsen	B.1.1.7 (Alpha)	202122	OU324645	Homo sapiens	B.1.1.7	Older	Europe		? C				
Switzerland/ZH-ETHZ-620242/2021	2021-05-08	7.00	20I (Alpha, V1)	Switzerland		Zürich	B.1.1.7 (Alpha)	202118	OU539557	Homo sapiens	B.1.1.7	One week ago	Europe		? CW				
OU322994	2021-06-09	6.00	20I (Alpha, V1)	Germany		Baden-Wuerttemberg	B.1.1.7 (Alpha)	202123	OU322994	Homo sapiens	B.1.1.7	Older	Europe		? C				
OU325702	2021-04-30	6.00	20I (Alpha, V1)	Poland		Slaskie	B.1.1.7 (Alpha)	202117	OU325702	Homo sapiens	B.1.1.7	Older	Europe		? H				
OU323428	2021-04-27	6.00	20I (Alpha, V1)	Poland		Slaskie	B.1.1.7 (Alpha)	202117	OU323428	Homo sapiens	B.1.1.7	Older	Europe		? H				
OU326419	2021-05-04	7.00	20I (Alpha, V1)	Poland		Slaskie	B.1.1.7 (Alpha)	202118	OU326419	Homo sapiens	B.1.1.7	Older	Europe		? H				
Switzerland/VD-ETHZ-620213/2021	2021-05-08	6.00	20I (Alpha, V1)	Switzerland		Vaud	B.1.1.7 (Alpha)	202118	OU539287	Homo sapiens	B.1.1.7	One week ago	Europe		? CX				
BGD/ideSHi-B-302502004/2021	2021-02-25	7.00	20I (Alpha, V1)	Bangladesh		Dhaka	B.1.1.7 (Alpha)	202108	MZ413982	Homo sapiens	B.1.1.7	Older	Asia		Afrad et al CD				
USA/MI-CDC-STM-000065381/2021	2021-04-27	8.00	20I (Alpha, V1)	USA		Michigan	B.1.1.7 (Alpha)	202117	MZ228903	Homo sapiens	B.1.1.7	Older	North America		Howard et al FC				
USA/WV-CDC-LC0060249/2021	2021-05-16	6.00	20I (Alpha, V1)	USA		West Virginia	B.1.1.7 (Alpha)	202120	MZ306912	Homo sapiens	B.1.1.7	Older	North America		Howard et al FD				
USA/MD-MDH-2623/2021	2021-06-03	6.00	20I (Alpha, V1)	USA		Maryland	B.1.1.7 (Alpha)	202122	MZ405181	Homo sapiens	B.1.1.7	Older	North America		Keller et al D				
GHA/nmimr-SARS-CoV-2-NTRA-21-25779/2021	2021-02-09	6.00	20I (Alpha, V1)	Ghana		Ghana	B.1.1.7 (Alpha)	202106	MZ350131	Homo sapiens	B.1.1.7	Older	Africa		Adu et al D				
Switzerland/SG-ETHZ-660356/2021	2021-06-10	7.00	20I (Alpha, V1)	Switzerland	0.00	Sankt Gallen	B.1.1.7 (Alpha)	202123	OU352269	Homo sapiens	B.1.1.7	Older	Europe		? CY				
GHA/nmimr-SARS-CoV-2-NTRA-14897/2020	2020-12-23	6.00	20I (Alpha, V1)	Ghana		Ghana	B.1.1.7 (Alpha)	202052	MW662154	Homo sapiens	B.1.1.7	Older	Africa		Adu et al E				
GHA/nmimr-SARS-CoV-2-NTRA-14828/2020	2020-12-22	6.00	20I (Alpha, V1)	Ghana		Ghana	B.1.1.7 (Alpha)	202052	MW662153	Homo sapiens	B.1.1.7	Older	Africa		Adu et al F				
TGO/nmimr-TG-SARS-CoV-2-TGS-024-21/2021	2021-01-15	6.00	20I (Alpha, V1)	Togo		Togo	B.1.1.7 (Alpha)	202102	MZ149970	Homo sapiens	B.1.1.7	Older	Africa		Halatoko et al C				
GHA/nmimr-SARS-CoV-2-NTRA-21-25711/2021	2021-02-09	6.00	20I (Alpha, V1)	Ghana		Ghana	B.1.1.7 (Alpha)	202106	MZ350129	Homo sapiens	B.1.1.7	Older	Africa		Adu et al G				
USA/PR-CDC-2-4504075/2021	2021-05-28	7.00	20I (Alpha, V1)	USA		Puerto Rico	B.1.1.7 (Alpha)	202121	MZ780562	Homo sapiens	B.1.1.7	One month ago	North America		Sheth et al AA				
Switzerland/GL-ETHZ-600810/2021	2021-04-27	6.00	20I (Alpha, V1)	Switzerland		Glarus	B.1.1.7 (Alpha)	202117	OU185288	Homo sapiens	B.1.1.7	Older	Europe		? CZ				
Switzerland/SO-ETHZ-610137/2021	2021-04-30	6.00	20I (Alpha, V1)	Switzerland		Solothurn	B.1.1.7 (Alpha)	202117	OU539185	Homo sapiens	B.1.1.7	One week ago	Europe		? DA				
GHA/WACCBIP_nCoV_GS124/2021	2021-01-04	6.00	20I (Alpha, V1)	Ghana		Ghana	B.1.1.7 (Alpha)	202101	MW571153	Homo sapiens	B.1.1.7	Older	Africa		Morang'a et al				
GHA/nmimr-SARS-CoV-2-NTRA-21-36805/2021	2021-03-11	6.00	20I (Alpha, V1)	Ghana		Ghana	B.1.1.7 (Alpha)	202110	MZ350112	Homo sapiens	B.1.1.7	Older	Africa		Adu et al H				
USA/WA-CDC-UW21042764446/2021	2021-04-27	6.00	20I (Alpha, V1)	USA		Washington	B.1.1.7 (Alpha)	202117	MZ199053	Homo sapiens	B.1.1.7	Older	North America		Howard et al FE				
GHA/nmimr-SARS-CoV-2-TRA-138/2021	2021-01-10	6.00	20I (Alpha, V1)	Ghana		Ghana	B.1.1.7 (Alpha)	202102	MW662142	Homo sapiens	B.1.1.7	Older	Africa		Adu et al I				
TGO/nmimr-TG-SARS-CoV-2-TGS-040-21/2021	2021-01-12	6.00	20I (Alpha, V1)	Togo		Togo	B.1.1.7 (Alpha)	202102	MZ149971	Homo sapiens	B.1.1.7	Older	Africa		Halatoko et al D				
USA/TN-CDC-ASC210041136/2021	2021-04-01	6.00	20I (Alpha, V1)	USA		Tennessee	B.1.1.7 (Alpha)	202113	MZ083643	Homo sapiens	B.1.1.7	Older	North America		Howard et al FF				
USA/WV119414/2021	2021-04-27	7.00	20I (Alpha, V1)	USA		West Virginia	B.1.1.7 (Alpha)	202117	MZ500846	Homo sapiens	B.1.1.7	Older	North America		Denvir et al G				
USA/GA-CDC-ASC210008135/2021	2021-03-17	6.00	20I (Alpha, V1)	USA		Georgia	B.1.1.7 (Alpha)	202111	MZ259880	Homo sapiens	B.1.1.7	Older	North America		Howard et al FG				
USA/MA-CDC-ASC210034375/2021	2021-04-27	6.00	20I (Alpha, V1)	USA		Massachusetts	B.1.1.7 (Alpha)	202117	MZ185283	Homo sapiens	B.1.1.7	Older	North America		Howard et al FH				
USA/NH-CDC-LC0029282/2021	2021-03-13	6.00	20I (Alpha, V1)	USA		New Hampshire	B.1.1.7 (Alpha)	202110	MW908952	Homo sapiens	B.1.1.7	Older	North America		Howard et al FI				
USA/IA-CDC-ASC210062504/2021	2021-05-11	6.00	20I (Alpha, V1)	USA		Iowa	B.1.1.7 (Alpha)	202119	MZ245345	Homo sapiens	B.1.1.7	Older	North America		Howard et al FJ				
TGO/nmimr-TG-SARS-CoV-2-TGS-053-21/2021	2021-02-25	6.00	20I (Alpha, V1)	Togo		Togo	B.1.1.7 (Alpha)	202108	MZ215671	Homo sapiens	B.1.1.7	Older	Africa		Halatoko et al E				
USA/IL-CDC-ASC210054685/2021	2021-04-10	6.00	20I (Alpha, V1)	USA		Illinois	B.1.1.7 (Alpha)	202114	MZ211452	Homo sapiens	B.1.1.7	Older	North America		Howard et al FK				
USA/WI-CDC-LC0054755/2021	2021-04-28	6.00	20I (Alpha, V1)	USA		Wisconsin	B.1.1.7 (Alpha)	202117	MZ180400	Homo sapiens	Q.8	Older	North America		Howard et al FL				
USA/ID-CDC-2-4513270/2021	2021-05-23	7.00	20I (Alpha, V1)	USA		Idaho	B.1.1.7 (Alpha)	202121	MZ451904	Homo sapiens	B.1.1.7	Older	North America		Sheth et al AB				
USA/CO-CDC-FG-031890/2021	2021-04-29	6.00	20I (Alpha, V1)	USA		Colorado	B.1.1.7 (Alpha)	202117	MZ223335	Homo sapiens	B.1.1.7	Older	North America		Howard et al FM				
USA/AL-CDC-LC0052187/2021	2021-04-23	6.00	20I (Alpha, V1)	USA		Alabama	B.1.1.7 (Alpha)	202116	MZ142644	Homo sapiens	B.1.1.7	Older	North America		Howard et al FN				
USA/KY-CDC-LC0156590/2021	2021-08-05	6.00	20I (Alpha, V1)	USA	0.00	Kentucky	B.1.1.7 (Alpha)	202131	MZ885971	Homo sapiens	B.1.1.7	One week ago	North America		Howard et al FO				-0.11
USA/MI-CDC-ASC210052236/2021	2021-04-08	6.00	20I (Alpha, V1)	USA		Michigan	B.1.1.7 (Alpha)	202114	MZ086294	Homo sapiens	B.1.1.7	Older	North America		Howard et al FP				
OU325215	2021-04-29	6.00	20I (Alpha, V1)	Poland		Slaskie	B.1.1.7 (Alpha)	202117	OU325215	Homo sapiens	B.1.1.7	Older	Europe		? H				
OU325098	2021-05-01	6.00	20I (Alpha, V1)	Poland		Slaskie	B.1.1.7 (Alpha)	202117	OU325098	Homo sapiens	B.1.1.7	Older	Europe		? H				
OU324829	2021-05-01	6.00	20I (Alpha, V1)	Poland		Slaskie	B.1.1.7 (Alpha)	202117	OU324829	Homo sapiens	B.1.1.7	Older	Europe		? H				
OU453233	2021-05-04	6.00	20I (Alpha, V1)	Poland		Malopolskie	B.1.1.7 (Alpha)	202118	OU453233	Homo sapiens	B.1.1.7	Older	Europe		? H				
OU156978	2021-04-27	6.00	20I (Alpha, V1)	Germany		North Rhine Westphalia	B.1.1.7 (Alpha)	202117	OU156978	Homo sapiens	B.1.1.7	Older	Europe		? C				
USA/WI-CDC-ASC210068716/2021	2021-04-13	6.00	20I (Alpha, V1)	USA		Wisconsin	B.1.1.7 (Alpha)	202115	MZ214463	Homo sapiens	B.1.1.7	Older	North America		Howard et al FQ				
