Author	n (strains)	publication title	journal	publication URL	strains
Consorcio Mexicano de Vigilancia Genomica (CoViGen-Mex). Authors (in alphabetical order): Julio Elias Alvarado-Yaah et al	14	unknown	unknown	unknown	Mexico/COA_LANGEBIO_IMSS_0267/2021,Mexico/DUR_LANGEBIO_IMSS_0257/2021,Mexico/NAY_LANGEBIO_IMSS_0320/2021,Mexico/TAM_LANGEBIO_IMSS_0062/2021,Mexico/TAM_LANGEBIO_IMSS_0033/2021,Mexico/TAM_LANGEBIO_IMSS_0034/2021,Mexico/ROO_LANGEBIO_IMSS_0286/2021,Mexico/YUC_LANGEBIO_IMSS_0288/2021,Mexico/DUR_LANGEBIO_IMSS_0265/2021,Mexico/TAM_LANGEBIO_IMSS_0169/2021,Mexico/TAM_LANGEBIO_IMSS_0108/2021,Mexico/TAM_LANGEBIO_IMSS_0051/2021,Mexico/ZAC_LANGEBIO_IMSS_0295/2021,Mexico/TAM_LANGEBIO_IMSS_0122/2021
Matt Plumb et al	3	unknown	unknown	unknown	USA/MN-MDH-1530/2020,USA/MN-MDH-1985/2020,USA/MN-MDH-1677/2020
Sofia Bernal et al	1	unknown	unknown	unknown	Mexico/SLP_UASLP_A004/2021
Charles Chiu et al	1	unknown	unknown	unknown	USA/CA-CDPH-UC1479/2020
Kathrine Stene-Johansen et al	16	unknown	unknown	unknown	Norway/6757/2021,Norway/1835/2021,Norway/4287/2021,Norway/1483/2021,Norway/4475/2021,Norway/3839/2021,Norway/0871/2021,Norway/1467/2021,Norway/10646/2021,Norway/5550/2021,Norway/10465/2021,Norway/7314/2021,Norway/11419/2021,Norway/11427/2021,Norway/10473/2021,Norway/10294/2021
SEARCH Alliance San Diego with Tracy Basler et al	3	unknown	unknown	unknown	USA/CA-ALSR-2158/2020,USA/CA-ALSR-4602/2020,USA/CA-SEARCH-7554/2021
Ana S. Gonzalez-Reiche et al	2	unknown	unknown	unknown	USA/NJ-MSHSPSP-PV17933/2020,USA/NY-MSHSPSP-PV35593/2021
Andrew Gorzalski et al	7	unknown	unknown	unknown	USA/NV-NSPHL-NV2028855/2020,USA/NV-NSPHL-NV2035850/2020,USA/NV-NSPHL-LV_305808/2021,USA/NV-NSPHL-LV_286638/2021,USA/NV-NSPHL-341736/2021,USA/NV-NSPHL-NV2064675/2021,USA/NV-NSPHL-351977/2021
Jolene Bowers et al A	1	unknown	unknown	unknown	USA/AZ-TG496036/2020
Tapfumanei Mashe et al	9	unknown	unknown	unknown	Zimbabwe/ZW-34091/2020,Zimbabwe/ZW-46206/2021,Zimbabwe/ZW-36782/2020,Zimbabwe/ZW-51249/2021,Zimbabwe/ZW-50535/2021,Zimbabwe/ZW-51685/2021,Zimbabwe/ZW-51212/2021,Zimbabwe/ZW-50523/2021,Zimbabwe/ZW-36225/2020
Laura Bankers et al	3	unknown	unknown	unknown	USA/CO-CDPHE-2100422264/2021,USA/CO-CDPHE-2100305892/2021,USA/CO-CDPHE-2100068493/2020
Gregory Hovan et al	2	unknown	unknown	unknown	USA/DE-DHSS-FLW00630612/2021,USA/DE-DHSS-F980184/2020
Pamela O'Brien et al	5	unknown	unknown	unknown	USA/HI-H200533/2020,USA/HI-H211158/2021,USA/HI-H211184/2021,USA/HI-H212235/2021,USA/HI-H212198/2021
Kame A. Galán-Huerta et al	2	unknown	unknown	unknown	Mexico/NLE-UANL-022/2021,Mexico/NLE-UANL-020/2021
Jim Mildenberger et al	3	unknown	unknown	unknown	USA/WY-WPHL-20169020/2020,USA/WY-WYPHL-20145812/2020,USA/WY-WYPHL21031659/2021
Mustapha M. Mustapha et al	1	unknown	unknown	unknown	USA/PA-MGEL-00703/2020
Trung Huynh et al	1	unknown	unknown	unknown	USA/AZ-ASPHL-3937/2021
Valesano et al	3	unknown	unknown	unknown	USA/MI-UM-S492884/2021,USA/MI-UM-10036895716/2020,USA/MI-UM-10036454962/2020
Joy Ritter et al	2	unknown	unknown	unknown	USA/MT-MTPHL-21210002/2021,USA/MT-MTPHL-21210005/2021
Adriana Heguy et al	1	unknown	unknown	unknown	USA/NY-NYULH482/2021
Fatma Bayrakdar et al	19	unknown	unknown	unknown	Turkey/HSGM-B10301/2021,Turkey/HSGM-IST2/2020,Turkey/HSGM-7151/2021,Turkey/HSGM-D294/2021,Turkey/HSGM-B10236/2021,Turkey/HSGM-6714/2021,Turkey/HSGM-B11142/2021,Turkey/HSGM-3849/2021,Turkey/HSGM-B1678/2021,Turkey/HSGM-2209/2021,Turkey/HSGM-B1107/2021,Turkey/HSGM-B11120/2021,Turkey/HSGM-5867/2021,Turkey/HSGM-B556/2021,Turkey/HSGM-3375/2021,Turkey/HSGM-7432/2021,Turkey/HSGM-1861/2021,Turkey/HSGM-GA69/2021,Turkey/HSGM-1160/2020
PathWest Laboratory Medicine WA Microbial Surveillance Unit et al	46	unknown	unknown	unknown	Australia/WA561/2020,Australia/WA635/2021,Australia/WA620/2021,Australia/WA718/2021,Australia/WA717/2021,Australia/WA720/2021,Australia/WA721/2021,Australia/WA723/2021,Australia/WA690/2021,Australia/WA722/2021,Australia/WA715/2021,Australia/WA699/2021,Australia/WA108/2020,Australia/WA608/2021,Australia/WA84/2020,Australia/WA622/2021,Australia/WA596/2020,Australia/WA65/2020,Australia/WA503/2020,Australia/WA558/2020,Australia/WA135/2020,Australia/WA626/2021,Australia/WA642/2021,Australia/WA673/2021,Australia/WA662/2021,Australia/WA585/2021,Australia/WA645/2021,Australia/WA180/2020,Australia/WA251/2020,Australia/WA430/2020,Australia/WA440/2020,Australia/WA436/2020,Australia/WA610/2021,Australia/WA362/2020,Australia/WA713/2021,Australia/WA714/2021,Australia/WA629/2021,Australia/WA694/2021,Australia/WA618/2021,Australia/WA670/2021,Australia/WA664/2021,Australia/WA623/2021,Australia/WA665/2021,Australia/WA637/2021,Australia/WA616/2021,Australia/WA624/2021
Nathan Tucker et al	1	unknown	unknown	unknown	USA/NY-Wadsworth-200216-01/2020
Wojciech Branicki et al	1	unknown	unknown	unknown	Poland/PL_P2/2020
Jonas Fuchs et al	1	unknown	unknown	unknown	Germany/BW-FR0152/2020
Oluniyi P.E. et al B	9	unknown	unknown	unknown	Cameroon/CV417/2020,Nigeria/CV649/2021,Nigeria/CV915/2021,Nigeria/KW-CV401/2020,Cameroon/CV416/2020,Nigeria/OS-CV302/2020,Cameroon/CV423/2020,Nigeria/OS-CV297/2020,Nigeria/OS-CV306/2020
Njouom Richard et al	8	unknown	unknown	unknown	Cameroon/Dschang-20v-6624/2020,Cameroon/Bafoussam-20v-8575/2020,Cameroun/Yaounde-21V-02577/2021,Cameroun/Yaounde-21V-04686/2021,Cameroon/Yaounde-20V-11590/2020,Cameroon/Douala-20V-3104/2020,Cameroun/Douala-57802/2021,Cameroun/Douala-HGDCOV2700/2021
Antonin Bal et al	18	unknown	unknown	unknown	France/NAQ-SC282/2020,France/ARA-SC003/2020,Monaco/HCL021015273401/2021,Tahiti/HCL021013275301/2020,Tahiti/HCL021013270901/2020,Tahiti/HCL021013320801/2021,Tahiti/HCL021013314001/2021,France/COR-HCL021007588501/2021,France/ARA-108748/2020,Tahiti/HCL021013236801/2021,France/ARA-0001047/2021,France/ARA-HCL021056563401/2021,France/ARA-HCL021047688801/2021,France/ARA-HCL021027938501/2021,France/IDF-HCL021020556201/2021,France/IDF-HCL021020552401/2021,France/ARA-HCL021053145601/2021,France/ARA-HCL021083004901/2021
Ruth Ann Luna et al	2	unknown	unknown	unknown	Belize/BZ-CML-TCMC-BZ006-0920/2020,USA/TX-TCH-TCMC02009/2021
Afzal Ansari et al	1	unknown	unknown	unknown	India/GJ-GBRC159b/2020
David Nieuwenhuijse et al B	1	unknown	unknown	unknown	Luxembourg/Lux1/2020
Rosenthal et al	5	unknown	unknown	unknown	USA/ME-QDX-649/2020,USA/NJ-QDX-2273/2020,USA/AL-QDX-3486/2020,USA/CT-QDX-3029/2021,USA/AR-QDX-2132/2020
Vasiliki Pogka et al	2	unknown	unknown	unknown	Greece/127_HPI/2020,Greece/19553_HPI/2020
Tim Holzer et al	1	unknown	unknown	unknown	USA/IN-Lilly-IPB0173-01bc03/2020
PHE Covid Sequencing Team et al	4	unknown	unknown	unknown	Ukraine/203100336/2020,Albania/210901066/2021,Albania/210901050/2021,Albania/210901063/2021
Sergey A. Bodnev et al	1	unknown	unknown	unknown	Crimea/SRC-80603/2020
Lemieux et al	5	unknown	unknown	unknown	USA/MA-MGH-01084/2020,USA/MA-MGH-01071/2020,USA/MA-MASPHL-00194/2020,USA/MA-MGH-04029/2021,USA/MA-Broad_CRSP-01305/2021
Mike Grose et al	7	unknown	unknown	unknown	USA/KS-KHEL-0115/2020,USA/KS-KHEL-0129/2020,USA/KS-KHEL-0202/2021,USA/KS-KHEL-1750/2021,USA/KS-KHEL-0374/2021,USA/KS-KHEL-1707/2021,USA/KS-KHEL-1492/2021
Cecilia Salazar et al	3	unknown	unknown	unknown	Uruguay/UY-272/2020,Uruguay/UY-60/2020,Uruguay/UY-652/2020
Maria Victoria Elizondo et al	1	unknown	unknown	unknown	Uruguay/UY-NYUMC872/2020
Anke Wienecke-Baldacchino et al	16	unknown	unknown	unknown	Luxembourg/LNS0211710/2020,Luxembourg/LNS9097516/2020,Luxembourg/LNS9776367/2021,Luxembourg/LNS1956201/2020,Luxembourg/LNS9916163/2020,Luxembourg/LNS6079967/2020,Luxembourg/LNS0519497/2020,Luxembourg/LNS7038743/2021,Luxembourg/LNS1397782/2021,Luxembourg/LNS6876300/2021,Luxembourg/LNS4322984/2021,Luxembourg/LNS8577854/2020,Luxembourg/LNS7398997/2021,Luxembourg/LNS0176728/2021,Luxembourg/LNS5865625/2021,Luxembourg/LNS1038896/2021
Chun Hang AU et al	1	Genome Sequences of SARS-CoV-2 Strains Detected in Hong Kong	unknown	https://mra.asm.org/content/9/31/e00697-20	HongKong/HKSH0003/2020
Ulrike Protzer et al	1	unknown	unknown	unknown	Germany/BAV-PL-virotum_hr88/2020
Placide Mbala-Kingebeni et al B	1	Phylogenetic analysis of SARS-CoV-2 in DRC	unknown	https://virological.org/t/phylogenetic-analysis-of-sars-cov-2-in-drc/528	DRC/KN-0070/2020
Sanaâ Lemriss et al	1	unknown	unknown	unknown	env/Morocco/SW5/2020
Hakima Kabbaj et al	1	unknown	unknown	unknown	Morocco/FMP-70/2021
Mouna Ouadghiri et al	9	unknown	unknown	unknown	Morocco/FMP-43/2020,Morocco/FMP-217/2021,Morocco/FMP-273/2021,Morocco/FMP-176/2021,Morocco/FMP-168/2021,Morocco/FMP-163/2021,Morocco/FMP-175/2021,Morocco/FMP-286/2021,Morocco/FMP-277/2021
Alpha Kabinet KEITA et al	4	unknown	unknown	unknown	Guinea/CERFIG-1337/2020,Guinea/CERFIG-1339/2020,Guinea/CERFIG-2190/2020,Guinea/CERFIG-1336/2020
Anna Majer et al	25	unknown	unknown	unknown	Canada/NS-NML-23981/2021,Canada/NL-NML-8802/2021,Canada/MB-NML-16334/2021,Canada/MB-NML-16293/2021,Canada/MB-NML-16808/2021,Canada/NL-NML-20652/2021,Canada/NL-NML-5801/2021,Canada/NS-NML-17876/2021,Canada/NS-NML-17414/2021,Canada/NS-NML-30090/2021,Canada/NS-NML-5529/2020,Canada/MB-NML-1027/2020,Canada/NS-NML-5519/2020,Canada/NS-NML-42276/2021,Canada/NL-NML-55193/2021,Canada/MB-NML-20673/2021,Canada/NB-NML-21241/2021,Canada/NL-NML-17530/2021,Canada/NL-NML-17531/2021,Canada/NL-NML-20656/2021,Canada/NL-NML-20655/2021,Canada/NB-NML-24719/2021,Canada/NL-NML-43019/2021,Canada/NS-NML-42300/2021,Canada/NS-NML-48377/2021
Goletić T. et al	1	unknown	unknown	unknown	BosniaandHerzegovina/VFS-UNSA-LMGFI004/2020
Myriam Seffar et al	3	unknown	unknown	unknown	Morocco/FMP-66/2021,Morocco/FMP-69/2021,Morocco/FMP-240/2021
Bhavesh Modi et al	1	Genomic variations in SARS-CoV-2 genomes from Gujarat: Underlying role of variants in disease epidemiology	unknown	https://www.biorxiv.org/content/10.1101/2020.07.10.197095v1	India/GJ-GBRC170a/2020
Hematopathology Laboratory et al	3	unknown	unknown	unknown	India/MH-ACTREC-240/2020,India/MH-ACTREC-448/2020,India/MH-ACTREC-494/2020
Angel Angelov et al	7	unknown	unknown	unknown	Congo/Q001C113A0_2101-TM-r1-027/2021,Congo/Q001C128AD_2101-TM-r1-042/2021,Congo/Q001C130AO_2101-TM-r1-044/2021,Congo/UKT-015/2020,Congo/UKT-008/2020,Congo/UKT-002/2020,Germany/BW-UT-009/2020
Prof. Francine Ntoumi et al	11	unknown	unknown	unknown	Congo/ROC-ITM-039-0902A16/2021,Congo/ROC-ITM-071-2001A6/2021,Congo/ROC-ITM-082-6279/2021,Congo/ROC-ITM-048-1902A30/2021,Congo/ROC-ITM-056-2302A89/2021,Congo/ROC-ITM-065-4793/2021,Congo/ROC-ITM-044-1602B4/2021,Congo/ROC-ITM-021-5O58/2021,Congo/ROC-ITM-001-5178/2021,Congo/ROC-ITM-074-2701A41/2021,Congo/ROC-ITM-013-011LEK/2021
Hana Apsari Pawestri et al	1	unknown	unknown	unknown	Indonesia/JK-NIHRD-WGS02737/2021
Tony Wawina-Bokalanga et al	7	unknown	unknown	unknown	Belgium/rega-2213/2021,Belgium/rega-03071156/2020,UnitedArabEmirates/rega-2360/2021,Belgium/rega-0731781/2020,Belgium/rega-2763/2021,Belgium/rega-4776/2021,Belgium/rega-4077/2021
Prof. Dr. Thirumalaisamy P. Velavan et al	4	unknown	unknown	unknown	Congo/ROC-ITM-015-1901A27/2021,Congo/ROC-ITM-011-008LEK/2021,Congo/ROC-ITM-014-001LEK/2021,Congo/ROC-ITM-012-005LEK/2021
Githinji et al	10	unknown	unknown	unknown	Kenya/C80960/2021,Kenya/C79949/2021,Kenya/C79951/2021,Kenya/C67051/2020,Kenya/C51996/2020,Kenya/C81273/2021,Kenya/C43861/2020,Kenya/C64061/2020,Kenya/C67558/2020,Kenya/C79725/2021
Celestin Godwe et al	3	unknown	unknown	unknown	Cameroon/Yaounde-ECO31/2021,Cameroon/Yaounde-ECO9/2021,Cameroon/Yaounde-ECO8/2021
Olawoye et al	10	unknown	unknown	unknown	Cameroon/CV994/2021,Nigeria/CV858/2021,Nigeria/CV842/2021,Nigeria/CV1126/2021,Nigeria/CV840/2021,Nigeria/CV860/2021,Nigeria/CV659/2020,Nigeria/CV795/2021,Nigeria/CV1144/2021,Nigeria/CV879/2021
Gédéon Prince Manouana et al	16	unknown	unknown	unknown	Gabon/CERMEL-AA0499/2021,Gabon/CERMEL-S0814/2021,Gabon/CERMEL-LPDG00283/2021,Gabon/CERMEL-S0841/2021,Gabon/CERMEL-S0854/2021,Gabon/CERMEL-BB0172/2021,Gabon/CERMEL-BB0759/2021,Gabon/CERMEL-X0501GX/2021,Gabon/CERMEL-AA0356/2021,Gabon/CERMEL-AA0639/2021,Gabon/CERMEL-Y0847/2021,Gabon/CERMEL-Y0690/2021,Gabon/CERMEL-Y0708/2021,Gabon/CERMEL-AA0358/2021,Gabon/CERMEL-AA0024/2021,Gabon/CERMEL-BB0035/2021
Mencacci A et al	1	unknown	unknown	unknown	Italy/UMB-IZSGC-259791.1.10/2021
Marion Barbet et al B	28	unknown	unknown	unknown	Niger/IPP10313/2021,Niger/IPP10316/2021,Niger/IPP10317/2021,Niger/IPP10314/2021,Niger/IPP10306/2021,Niger/IPP10318/2021,Guadeloupe/IPG-7338/2020,SaintBarthelemy/IPG-7329/2020,Guadeloupe/IPG-7323/2020,Guadeloupe/IPP06249/2021,Monaco/IPP04453/2021,Guadeloupe/IPP04491/2021,Guadeloupe/IPP06962/2021,Mayotte/IPP04348/2021,Mayotte/IPP03162/2021,Monaco/IPP04454/2021,Madagascar/IPM-01008/2021,Madagascar/IPM-00608/2021,Madagascar/IPM-00906/2021,Madagascar/IPM-38486/2020,Madagascar/IPM-40197/2020,Madagascar/IPM-39541/2020,Guadeloupe/IPP04223/2021,France/IDF-IPP11684/2021,France/BRE-IPP05837/2021,Guadeloupe/IPP10076/2021,Guadeloupe/IPP04221/2021,Guadeloupe/IPP11461/2021
